epoch,first_slot,last_slot,account_count,active_account_count,tx_count,blockhash_count,unique_account_growth,global_unique_accounts,new_account_ratio,active_to_global_unique_ratio,registry_path
173,74736000,75167999,9359976,9359976,253060966,407250,8986393,49301090,0.960087183984,0.189853327786,/home/ach/dev/blockzilla-v2/epoch-173/registry.bin
174,75168000,75599999,10134313,10134313,240927273,398300,9706483,59007573,0.957784015552,0.171745972335,/home/ach/dev/blockzilla-v2/epoch-174/registry.bin
175,75600000,76031999,9315906,9315906,237341433,400762,8805270,67812843,0.945186651733,0.137376720808,/home/ach/dev/blockzilla-v2/epoch-175/registry.bin
176,76032000,76463999,10194342,10194342,232403478,391853,9352725,77165568,0.917442734411,0.132109984598,/home/ach/dev/blockzilla-v2/epoch-176/registry.bin
177,76464000,76895999,7764307,7764307,220125613,368509,7099699,84265267,0.914402148189,0.092141249609,/home/ach/dev/blockzilla-v2/epoch-177/registry.bin
178,76896000,77327999,2160563,2160563,211452312,362189,1561097,85826364,0.722541763420,0.025173651770,/home/ach/dev/blockzilla-v2/epoch-178/registry.bin
179,77328000,77759999,1940840,1940840,218969047,364362,1144841,86971205,0.589868819686,0.022315891794,/home/ach/dev/blockzilla-v2/epoch-179/registry.bin
180,77760000,78191999,2154460,2154460,234346089,369975,1439877,88411082,0.668323849132,0.024368664553,/home/ach/dev/blockzilla-v2/epoch-180/registry.bin
181,78192000,78623999,1883820,1883820,238178484,374413,1227222,89638304,0.651453960569,0.021015792534,/home/ach/dev/blockzilla-v2/epoch-181/registry.bin
182,78624000,79055999,2219991,2219991,233522706,364424,1476888,91115192,0.665267561896,0.024364663579,/home/ach/dev/blockzilla-v2/epoch-182/registry.bin
183,79056000,79487999,2897180,2897180,235573831,352942,1924705,93039897,0.664337390152,0.031139114438,/home/ach/dev/blockzilla-v2/epoch-183/registry.bin
184,79488000,79919999,3262422,3262422,236227883,328657,2455091,95494988,0.752536305849,0.034163279857,/home/ach/dev/blockzilla-v2/epoch-184/registry.bin
185,79920000,80351999,8728703,8728703,186464672,308573,1378419,96873407,0.157917963299,0.090104222307,/home/ach/dev/blockzilla-v2/epoch-185/registry.bin
186,80352000,80783999,11777689,11777689,187278417,310374,3426078,100299485,0.290895607789,0.117425219083,/home/ach/dev/blockzilla-v2/epoch-186/registry.bin
187,80784000,81215999,9644323,9644323,208829087,339120,8598876,108898361,0.891599752518,0.088562609312,/home/ach/dev/blockzilla-v2/epoch-187/registry.bin
188,81216000,81647999,7912475,7912475,222197543,359670,6569117,115467478,0.830222781115,0.068525572196,/home/ach/dev/blockzilla-v2/epoch-188/registry.bin
189,81648000,82079999,1663467,1663467,217096147,360681,997176,116464654,0.599456436467,0.014283020151,/home/ach/dev/blockzilla-v2/epoch-189/registry.bin
190,82080000,82511999,1583249,1583249,211927371,353652,955897,117420551,0.603756579035,0.013483576653,/home/ach/dev/blockzilla-v2/epoch-190/registry.bin
191,82512000,82943999,1570477,1570477,205290247,345228,917684,118338235,0.584334568415,0.013271086898,/home/ach/dev/blockzilla-v2/epoch-191/registry.bin
192,82944000,83375999,1609849,1609849,211065976,342277,993671,119331906,0.617244847188,0.013490516107,/home/ach/dev/blockzilla-v2/epoch-192/registry.bin
193,83376000,83807999,1807353,1807353,213825732,339560,1138586,120470492,0.629974332629,0.015002453879,/home/ach/dev/blockzilla-v2/epoch-193/registry.bin
194,83808000,84239999,2130437,2130437,211857158,332548,1498314,121968806,0.703289512903,0.017467064489,/home/ach/dev/blockzilla-v2/epoch-194/registry.bin
195,84240000,84671999,2356661,2356661,216002689,333097,1737264,123706070,0.737171786693,0.019050487983,/home/ach/dev/blockzilla-v2/epoch-195/registry.bin
196,84672000,85103999,2265659,2265659,213829539,329542,1586357,125292427,0.700174651172,0.018082968414,/home/ach/dev/blockzilla-v2/epoch-196/registry.bin
197,85104000,85535999,1650662,1650662,208046761,322213,1062302,126354729,0.643561189389,0.013063713666,/home/ach/dev/blockzilla-v2/epoch-197/registry.bin
198,85536000,85967999,1478092,1478092,215553442,326189,857922,127212651,0.580425305055,0.011619064522,/home/ach/dev/blockzilla-v2/epoch-198/registry.bin
199,85968000,86399999,1487975,1487975,216836603,319922,945958,128158609,0.635735143400,0.011610417838,/home/ach/dev/blockzilla-v2/epoch-199/registry.bin
200,86400000,86831999,1352553,1352553,217531687,318235,794102,128952711,0.587113407016,0.010488751958,/home/ach/dev/blockzilla-v2/epoch-200/registry.bin
201,86832000,87263999,1326036,1326036,221048298,316937,832252,129784963,0.627623986076,0.010217177471,/home/ach/dev/blockzilla-v2/epoch-201/registry.bin
202,87264000,87695999,1507767,1507767,213665313,305694,978859,130763822,0.649211051840,0.011530459855,/home/ach/dev/blockzilla-v2/epoch-202/registry.bin
203,87696000,88127999,1892573,1892573,216484048,300458,1307041,132070863,0.690615896983,0.014329981322,/home/ach/dev/blockzilla-v2/epoch-203/registry.bin
204,88128000,88559999,2242494,2242494,215785312,296772,1644816,133715679,0.733476209970,0.016770613714,/home/ach/dev/blockzilla-v2/epoch-204/registry.bin
205,88560000,88991999,1865026,1865026,228060154,306365,1301720,135017399,0.697963460027,0.013813227138,/home/ach/dev/blockzilla-v2/epoch-205/registry.bin
206,88992000,89423999,1765859,1765859,295361226,359093,1172451,136189850,0.663955049639,0.012966157170,/home/ach/dev/blockzilla-v2/epoch-206/registry.bin
207,89424000,89855999,1918339,1918339,340672229,394573,1253784,137443634,0.653577912976,0.013957277934,/home/ach/dev/blockzilla-v2/epoch-207/registry.bin
208,89856000,90287999,1737469,1737469,344586521,392842,1097280,138540914,0.631539325306,0.012541197758,/home/ach/dev/blockzilla-v2/epoch-208/registry.bin
209,90288000,90719999,1503103,1503103,349577183,389604,915423,139456337,0.609022136208,0.010778305471,/home/ach/dev/blockzilla-v2/epoch-209/registry.bin
210,90720000,91151999,1714138,1714138,352618389,388144,1026686,140483023,0.598951776345,0.012201744833,/home/ach/dev/blockzilla-v2/epoch-210/registry.bin
211,91152000,91583999,2020802,2020802,354328805,380050,1326546,141809569,0.656445312307,0.014250110301,/home/ach/dev/blockzilla-v2/epoch-211/registry.bin
212,91584000,92015999,2371116,2371116,345498298,374584,1534627,143344196,0.647217175372,0.016541416159,/home/ach/dev/blockzilla-v2/epoch-212/registry.bin
